jobid,corr,timestep,time,proc,algo
74169,1000,2E5,398.434,24,par1.1
74173,1000,2E5,218.716,48,par1.1
74174,1000,2E5,459.45,72,par1.1
74485,5000,2E5,1077.489,24,par1.1
74492,5000,2E5,631.014,48,par1.1
74493,5000,2E5,714.452,72,par1.1
74180,10000,2E5,2035.248,24,par1.1
74179,10000,2E5,1120.569,48,par1.1
74178,10000,2E5,787.206,72,par1.1
74639,100000,2E5,16055.07,24,par1.1
74638,100000,2E5,7773.632,48,par1.1
74637,100000,2E5,5278.646,72,par1.1
74754,1000,2E5,247.225,24,par1.3.1
74755,1000,2E5,217.552,48,par1.3.1
74756,1000,2E5,348.864,72,par1.3.1
74757,5000,2E5,741.492,24,par1.3.1
74758,5000,2E5,584.931,48,par1.3.1
74761,5000,2E5,1235.39,72,par1.3.1
74764,10000,2E5,1369.029,24,par1.3.1
74765,10000,2E5,1032.74,48,par1.3.1
74775,10000,2E5,2325.423,72,par1.3.1
74779,100000,2E5,10358.46,24,par1.3.1
74780,100000,2E5,7579.205,48,par1.3.1
74782,100000,2E5,18373.5,72,par1.3.1